Episode,Success,Collision,Mean Success,Mean Collision,Rolling Mean Success,Rolling Mean Collision
0,11,4,11,4,,
1,5,10,8,7,,
2,7,8,7.666666667,7.333333333,,
3,9,6,8,7,,
4,9,6,8.2,6.8,,
5,9,6,8.333333333,6.666666667,,
6,5,10,7.857142857,7.142857143,,
7,7,8,7.75,7.25,,
8,9,6,7.888888889,7.111111111,,
9,9,6,8,7,,
10,9,6,8.090909091,6.909090909,,
11,7,8,8,7,,
12,11,4,8.230769231,6.769230769,,
13,13,2,8.571428571,6.428571429,,
14,11,4,8.733333333,6.266666667,,
15,11,4,8.875,6.125,,
16,9,6,8.882352941,6.117647059,,
17,13,2,9.111111111,5.888888889,,
18,9,6,9.105263158,5.894736842,,
19,7,8,9,6,,
20,9,6,9,6,,
21,7,8,8.909090909,6.090909091,,
22,9,6,8.913043478,6.086956522,,
23,9,6,8.916666667,6.083333333,,
24,9,6,8.92,6.08,,
25,11,4,9,6,,
26,9,6,9,6,,
27,9,6,9,6,,
28,9,6,9,6,,
29,9,6,9,6,,
30,13,2,9.129032258,5.870967742,,
31,13,2,9.25,5.75,,
32,9,6,9.242424242,5.757575758,,
33,9,6,9.235294118,5.764705882,,
34,11,4,9.285714286,5.714285714,,
35,13,2,9.388888889,5.611111111,,
36,9,6,9.378378378,5.621621622,,
37,11,4,9.421052632,5.578947368,,
38,9,6,9.41025641,5.58974359,,
39,7,8,9.35,5.65,,
40,9,6,9.341463415,5.658536585,,
41,9,6,9.333333333,5.666666667,,
42,11,4,9.372093023,5.627906977,,
43,11,4,9.409090909,5.590909091,,
44,11,4,9.444444444,5.555555556,,
45,7,8,9.391304348,5.608695652,,
46,7,8,9.340425532,5.659574468,,
47,7,8,9.291666667,5.708333333,,
48,11,4,9.326530612,5.673469388,,
49,9,6,9.32,5.68,,
50,9,6,9.31372549,5.68627451,,
51,11,4,9.346153846,5.653846154,,
52,5,10,9.264150943,5.735849057,,
53,7,8,9.222222222,5.777777778,,
54,11,4,9.254545455,5.745454545,,
55,9,6,9.25,5.75,,
56,9,6,9.245614035,5.754385965,,
57,9,6,9.24137931,5.75862069,,
58,10,5,9.254237288,5.745762712,,
59,9,6,9.25,5.75,,
60,7,8,9.213114754,5.786885246,,
61,7,8,9.177419355,5.822580645,,
62,13,2,9.238095238,5.761904762,,
63,9,6,9.234375,5.765625,,
64,7,8,9.2,5.8,,
65,9,6,9.196969697,5.803030303,,
66,7,8,9.164179104,5.835820896,,
67,9,6,9.161764706,5.838235294,,
68,7,8,9.130434783,5.869565217,,
69,9,6,9.128571429,5.871428571,,
70,9,6,9.126760563,5.873239437,,
71,5,10,9.069444444,5.930555556,,
72,9,6,9.068493151,5.931506849,,
73,7,8,9.040540541,5.959459459,,
74,11,4,9.066666667,5.933333333,,
75,9,6,9.065789474,5.934210526,,
76,7,8,9.038961039,5.961038961,,
77,9,6,9.038461538,5.961538462,,
78,5,10,8.987341772,6.012658228,,
79,9,6,8.9875,6.0125,,
80,7,8,8.962962963,6.037037037,,
81,9,6,8.963414634,6.036585366,,
82,9,6,8.963855422,6.036144578,,
83,13,2,9.011904762,5.988095238,,
84,8,7,9,6,,
85,9,6,9,6,,
86,5,10,8.954022989,6.045977011,,
87,12,3,8.988636364,6.011363636,,
88,13,2,9.033707865,5.966292135,,
89,9,6,9.033333333,5.966666667,,
90,9,6,9.032967033,5.967032967,,
91,9,6,9.032608696,5.967391304,,
92,7,8,9.010752688,5.989247312,,
93,11,4,9.031914894,5.968085106,,
94,7,8,9.010526316,5.989473684,,
95,7,8,8.989583333,6.010416667,,
96,13,2,9.030927835,5.969072165,,
97,5,10,8.989795918,6.010204082,,
98,7,8,8.96969697,6.03030303,,
99,9,6,8.97,6.03,,
100,12,3,9,6,,
101,5,10,8.960784314,6.039215686,,
102,9,6,8.961165049,6.038834951,,
103,9,6,8.961538462,6.038461538,,
104,5,10,8.923809524,6.076190476,,
105,6,9,8.896226415,6.103773585,,
106,13,2,8.934579439,6.065420561,,
107,7,8,8.916666667,6.083333333,,
108,7,8,8.899082569,6.100917431,,
109,12,3,8.927272727,6.072727273,,
110,9,6,8.927927928,6.072072072,,
111,13,2,8.964285714,6.035714286,,
112,5,10,8.92920354,6.07079646,,
113,7,8,8.912280702,6.087719298,,
114,7,8,8.895652174,6.104347826,,
115,11,4,8.913793103,6.086206897,,
116,9,6,8.914529915,6.085470085,,
117,8,7,8.906779661,6.093220339,,
118,9,6,8.907563025,6.092436975,,
119,8,7,8.9,6.1,,
120,9,6,8.900826446,6.099173554,,
121,7,8,8.885245902,6.114754098,,
