Episode,,,Mean Success,Mean Collision,Rolling Mean Success,Rolling Mean Collision
0,15,0,15,0,,
1,15,0,15,0,,
2,15,0,15,0,,
3,15,0,15,0,,
4,13,2,14.6,0.4,,
5,15,0,14.66667,0.333333333,,
6,13,2,14.42857,0.571428571,,
7,15,0,14.5,0.5,,
8,15,0,14.55556,0.444444444,,
9,13,2,14.4,0.6,,
10,13,2,14.27273,0.727272727,,
11,13,2,14.16667,0.833333333,,
12,15,0,14.23077,0.769230769,,
13,11,4,14,1,,
14,11,4,13.8,1.2,,
15,15,0,13.875,1.125,,
16,13,2,13.82353,1.176470588,,
17,15,0,13.88889,1.111111111,,
18,15,0,13.94737,1.052631579,,
19,13,2,13.9,1.1,,
20,15,0,13.95238,1.047619048,,
21,12,3,13.86364,1.136363636,,
22,15,0,13.91304,1.086956522,,
23,15,0,13.95833,1.041666667,,
24,14,1,13.96,1.04,,
25,15,0,14,1,,
26,15,0,14.03704,0.962962963,,
27,14,1,14.03571,0.964285714,,
28,13,2,14,1,,
29,14,1,14,1,,
30,11,4,13.90323,1.096774194,,
31,15,0,13.9375,1.0625,,
32,13,2,13.90909,1.090909091,,
33,15,0,13.94118,1.058823529,,
34,15,0,13.97143,1.028571429,,
35,15,0,14,1,,
36,13,2,13.97297,1.027027027,,
37,13,2,13.94737,1.052631579,,
38,14,1,13.94872,1.051282051,,
39,13,2,13.925,1.075,,
40,13,2,13.90244,1.097560976,,
41,12,3,13.85714,1.142857143,,
42,14,1,13.86047,1.139534884,,
43,15,0,13.88636,1.113636364,,
44,14,1,13.88889,1.111111111,,
45,12,3,13.84783,1.152173913,,
46,12,3,13.80851,1.191489362,,
47,10,5,13.72917,1.270833333,,
48,13,2,13.71429,1.285714286,,
49,13,2,13.7,1.3,,
50,13,2,13.68627,1.31372549,,
51,15,0,13.71154,1.288461538,,
52,14,1,13.71698,1.283018868,,
53,13,2,13.7037,1.296296296,,
54,12,3,13.67273,1.327272727,,
55,13,2,13.66071,1.339285714,,
56,15,0,13.68421,1.315789474,,
57,15,0,13.7069,1.293103448,,
58,15,0,13.72881,1.271186441,,
59,11,4,13.68333,1.316666667,,
60,15,0,13.70492,1.295081967,,
61,11,4,13.66129,1.338709677,,
62,15,0,13.68254,1.317460317,,
63,14,1,13.6875,1.3125,,
64,15,0,13.70769,1.292307692,,
