Episode,Success,Collision,Suc Mean,Col Mean,Log Suc Mean,Log Col Mean,Std Dev,150 rolling Mean Suc,150 rolling Mean Col,Log Suc Roll Mean,Log Col Roll Mean,Total Success,Total Collision
0,0,8,0,8,-2,2.079441542,0,0,8,-2,2.079441542,0,8
1,0,8,0,8,-2,2.079441542,0,0,8,-2,2.079441542,0,16
2,0,8,0,8,-2,2.079441542,0,0,8,-2,2.079441542,0,24
3,0,8,0,8,-2,2.079441542,0,0,8,-2,2.079441542,0,32
4,2,6,0.4,7.6,-0.916290732,2.028148247,0.16,0,8,-2,2.079441542,2,38
5,0,8,0.333333333,7.666666667,-1.098612289,2.036881927,0.173916398,0,8,-2,2.079441542,2,46
6,2,6,0.571428571,7.428571429,-0.559615788,2.00533357,0.225021016,0,8,-2,2.079441542,4,52
7,0,8,0.5,7.5,-0.693147181,2.014903021,0.234652944,0,8,-2,2.079441542,4,60
8,0,8,0.444444444,7.555555556,-0.810930216,2.022283128,0.2316773,0,8,-2,2.079441542,4,68
9,2,6,0.6,7.4,-0.510825624,2.00148,0.243592879,0,8,-2,2.079441542,6,74
10,0,8,0.545454545,7.454545455,-0.606135804,2.008823974,0.244034667,0,8,-2,2.079441542,6,82
11,0,8,0.5,7.5,-0.693147181,2.014903021,0.239558847,0,8,-2,2.079441542,6,90
12,0,8,0.461538462,7.538461538,-0.773189888,2.020018121,0.233037191,0,8,-2,2.079441542,6,98
13,2,6,0.571428571,7.428571429,-0.559615788,2.00533357,0.232662776,0,8,-2,2.079441542,8,104
14,2,6,0.666666667,7.333333333,-0.405465108,1.992430165,0.238086435,0,8,-2,2.079441542,10,110
15,0,8,0.625,7.375,-0.470003629,1.998095902,0.23846311,0,8,-2,2.079441542,10,118
16,0,8,0.588235294,7.411764706,-0.530628251,2.003068563,0.236058887,0,8,-2,2.079441542,10,126
17,0,8,0.555555556,7.444444444,-0.587786665,2.007468042,0.232143135,0,8,-2,2.079441542,10,134
18,2,6,0.631578947,7.368421053,-0.459532329,1.997203443,0.23135031,0,8,-2,2.079441542,12,140
19,0,8,0.6,7.4,-0.510825624,2.00148,0.228850711,0,8,-2,2.079441542,12,148
20,2,6,0.666666667,7.333333333,-0.405465108,1.992430165,0.228964252,0,8,-2,2.079441542,14,154
21,2,6,0.727272727,7.272727273,-0.318453731,1.984131362,0.231510413,0,8,-2,2.079441542,16,160
22,2,6,0.782608696,7.217391304,-0.245122458,1.976493572,0.236128838,0,8,-2,2.079441542,18,166
23,2,6,0.833333333,7.166666667,-0.182321557,1.969440646,0.242392143,0,8,-2,2.079441542,20,172
24,0,8,0.8,7.2,-0.223143551,1.974081026,0.245458458,0,8,-2,2.079441542,20,180
25,0,8,0.769230769,7.230769231,-0.262364264,1.978345425,0.24635298,0,8,-2,2.079441542,20,188
26,2,6,0.814814815,7.185185185,-0.204794413,1.972021293,0.248652879,0,8,-2,2.079441542,22,194
27,0,8,0.785714286,7.214285714,-0.241162057,1.976063187,0.249171812,0,8,-2,2.079441542,22,202
28,2,6,0.827586207,7.172413793,-0.189242,1.97024225,0.250879968,0,8,-2,2.079441542,24,208
29,0,8,0.8,7.2,-0.223143551,1.974081026,0.251106866,0,8,-2,2.079441542,24,216
30,0,8,0.774193548,7.225806452,-0.255933374,1.977658847,0.250271498,0,8,-2,2.079441542,24,224
31,4,4,0.875,7.125,-0.133531393,1.963609726,0.252579792,0,8,-2,2.079441542,28,228
32,4,4,0.96969697,7.03030303,-0.030771659,1.95022981,0.258258518,0,8,-2,2.079441542,32,232
33,2,6,1,7,0,1.945910149,0.264307422,0,8,-2,2.079441542,34,238
34,4,4,1.085714286,6.914285714,0.082238098,1.933589665,0.273339661,0,8,-2,2.079441542,38,242
35,0,8,1.055555556,6.944444444,0.054067221,1.937941979,0.279587484,0,8,-2,2.079441542,38,250
36,2,6,1.081081081,6.918918919,0.077961541,1.934259532,0.285926424,0,8,-2,2.079441542,40,256
37,2,6,1.105263158,6.894736842,0.100083459,1.930758344,0.292291392,0,8,-2,2.079441542,42,262
38,2,6,1.128205128,6.871794872,0.120627988,1.927425334,0.298630389,0,8,-2,2.079441542,44,268
39,0,8,1.1,6.9,0.09531018,1.931521412,0.30301087,0,8,-2,2.079441542,44,276
40,2,6,1.12195122,6.87804878,0.11506933,1.928335004,0.307502013,0,8,-2,2.079441542,46,282
